X Z U W THETA OMEGA
1.55869178134287e-07 -8.91112395957304e-05 3.50267782878523e-07 -0.000200249964929438 60 0
1.5939153392244e-07 -9.11249892410694e-05 3.54203374817153e-07 -0.000202499964136908 60 0
1.62953245629942e-07 -9.31612388784389e-05 3.58138966731133e-07 -0.000204749963335523 60 0
1.66554313256548e-07 -9.52199885077503e-05 3.62074558620477e-07 -0.000206999962525282 60 0
1.70194736802009e-07 -9.7301238128915e-05 3.66010150485198e-07 -0.000209249961706187 60 0
1.73874516266082e-07 -9.94049877418444e-05 3.69945742325309e-07 -0.000211499960878237 60 0
1.7759365164852e-07 -0.00010153123734645 3.73881334140824e-07 -0.000213749960041432 60 0
1.81352142949076e-07 -0.000103679986942643 3.77816925931756e-07 -0.000215999959195771 60 0
1.85149990167506e-07 -0.000105851236530336 3.81752517698119e-07 -0.000218249958341256 60 0
1.88987193303562e-07 -0.000108044986109439 3.85688109439925e-07 -0.000220499957477885 60 0
1.92863752356999e-07 -0.000110261235679864 3.89623701157188e-07 -0.000222749956605659 60 0
1.9677966732757e-07 -0.000112499985241523 3.93559292849922e-07 -0.000224999955724579 60 0
2.00734938215031e-07 -0.000114761234794326 3.9749488451814e-07 -0.000227249954834643 60 0
2.04729565019133e-07 -0.000117044984338186 4.01430476161854e-07 -0.000229499953935852 60 0
2.08763547739633e-07 -0.000119351233873013 4.05366067781079e-07 -0.000231749953028206 60 0
2.12836886376283e-07 -0.00012167998339872 4.09301659375827e-07 -0.000233999952111705 60 0
2.16949580928838e-07 -0.000124031232915218 4.13237250946113e-07 -0.000236249951186349 60 0
2.21101631397051e-07 -0.000126404982422418 4.17172842491949e-07 -0.000238499950252137 60 0
2.25293037780677e-07 -0.000128801231920231 4.21108434013348e-07 -0.000240749949309071 60 0
2.29523800079469e-07 -0.00013121998140857 4.25044025510325e-07 -0.00024299994835715 60 0
2.33793918293181e-07 -0.000133661230887344 4.28979616982892e-07 -0.000245249947396373 60 0
2.38103392421568e-07 -0.000136124980356467 4.32915208431062e-07 -0.000247499946426742 60 0
2.42452222464384e-07 -0.00013861122981585 4.3685079985485e-07 -0.000249749945448255 60 0
2.46840408421382e-07 -0.000141119979265403 4.40786391254268e-07 -0.000251999944460913 60 0
2.51267950292316e-07 -0.000143651228705038 4.44721982629329e-07 -0.000254249943464716 60 0
2.5573484807694e-07 -0.000146204978134668 4.48657573980047e-07 -0.000256499942459665 60 0
2.60241101775009e-07 -0.000148781227554202 4.52593165306436e-07 -0.000258749941445758 60 0
2.64786711386276e-07 -0.000151379976963553 4.56528756608508e-07 -0.000260999940422996 60 0
2.69371676910495e-07 -0.000154001226362632 4.60464347886278e-07 -0.000263249939391379 60 0
2.7399599834742e-07 -0.000156644975751351 4.64399939139757e-07 -0.000265499938350906 60 0
2.78659675696806e-07 -0.000159311225129621 4.6833553036896e-07 -0.000267749937301579 60 0
2.83362708958406e-07 -0.000161999974497353 4.722711215739e-07 -0.000269999936243397 60 0
2.88105098131973e-07 -0.000164711223854459 4.7620671275459e-07 -0.000272249935176359 60 0
2.92886843217263e-07 -0.000167444973200851 4.80142303911044e-07 -0.000274499934100467 60 0
2.97707944214029e-07 -0.000170201222536439 4.84077895043275e-07 -0.000276749933015719 60 0
3.02568401122025e-07 -0.000172979971861136 4.88013486151296e-07 -0.000278999931922117 60 0
3.07468213941005e-07 -0.000175781221174852 4.9194907723512e-07 -0.000281249930819659 60 0
3.12407382670723e-07 -0.000178604970477499 4.95884668294762e-07 -0.000283499929708346 60 0
3.17385907310932e-07 -0.000181451219768989 4.99820259330233e-07 -0.000285749928588178 60 0
3.22403787861388e-07 -0.000184319969049233 5.03755850341548e-07 -0.000287999927459155 60 0
3.27461024321844e-07 -0.000187211218318143 5.0769144132872e-07 -0.000290249926321277 60 0
3.32557616692053e-07 -0.000190124967575629 5.11627032291762e-07 -0.000292499925174544 60 0
3.3769356497177e-07 -0.000193061216821604 5.15562623230688e-07 -0.000294749924018956 60 0
3.42868869160749e-07 -0.000196019966055979 5.1949821414551e-07 -0.000296999922854513 60 0
3.48083529258744e-07 -0.000199001215278665 5.23433805036243e-07 -0.000299249921681214 60 0
3.53337545265508e-07 -0.000202004964489574 5.27369395902899e-07 -0.000301499920499061 60 0
3.58630917180796e-07 -0.000205031213688617 5.31304986745492e-07 -0.000303749919308053 60 0
3.63963645004362e-07 -0.000208079962875705 5.35240577564035e-07 -0.000305999918108189 60 0
3.6933572873596e-07 -0.000211151212050751 5.39176168358542e-07 -0.00030824991689947 60 0
3.74747168375343e-07 -0.000214244961213665 5.43111759129025e-07 -0.000310499915681897 60 0
3.80197963922265e-07 -0.000217361210364359 5.47047349875499e-07 -0.000312749914455468 60 0
3.85688115376481e-07 -0.000220499959502745 5.50982940597975e-07 -0.000314999913220184 60 0
3.91217622737745e-07 -0.000223661208628733 5.54918531296469e-07 -0.000317249911976045 60 0
3.9678648600581e-07 -0.000226844957742236 5.58854121970993e-07 -0.000319499910723051 60 0
4.02394705180431e-07 -0.000230051206843165 5.6278971262156e-07 -0.000321749909461202 60 0
4.08042280261361e-07 -0.000233279955931431 5.66725303248184e-07 -0.000323999908190498 60 0
4.13729211248354e-07 -0.000236531205006945 5.70660893850878e-07 -0.000326249906910938 60 0
4.19455498141165e-07 -0.00023980495406962 5.74596484429656e-07 -0.000328499905622524 60 0
4.25221140939547e-07 -0.000243101203119366 5.7853207498453e-07 -0.000330749904325255 60 0
4.31026139643255e-07 -0.000246419952156095 5.82467665515514e-07 -0.00033299990301913 60 0
4.36870494252041e-07 -0.000249761201179719 5.86403256022622e-07 -0.000335249901704151 60 0
4.42754204765661e-07 -0.000253124950190149 5.90338846505866e-07 -0.000337499900380316 60 0
4.48677271183869e-07 -0.000256511199187296 5.94274436965261e-07 -0.000339749899047626 60 0
4.54639693506417e-07 -0.000259919948171072 5.98210027400819e-07 -0.000341999897706081 60 0
4.60641471733061e-07 -0.000263351197141388 6.02145617812553e-07 -0.000344249896355681 60 0
4.66682605863554e-07 -0.000266804946098156 6.06081208200478e-07 -0.000346499894996427 60 0
4.72763095897649e-07 -0.000270281195041287 6.10016798564606e-07 -0.000348749893628317 60 0
4.78882941835103e-07 -0.000273779943970693 6.1395238890495e-07 -0.000350999892251351 60 0
4.85042143675258e-07 -0.000277301192886285 6.17887979221525e-07 -0.000353249890865531 60 0
4.91240701417481e-07 -0.000280844941787974 6.21823569514343e-07 -0.000355499889470856 60 0
4.97478615061554e-07 -0.000284411190675672 6.25759159783418e-07 -0.000357749888067326 60 0
5.03755884607259e-07 -0.000287999939549291 6.29694750028762e-07 -0.00035999988665494 60 0
5.10072510054378e-07 -0.000291611188408742 6.3363034025039e-07 -0.0003622498852337 60 0
5.16428491402693e-07 -0.000295244937253935 6.37565930448315e-07 -0.000364499883803604 60 0
5.22823828651987e-07 -0.000298901186084784 6.41501520622549e-07 -0.000366749882364654 60 0
5.29258521802042e-07 -0.000302579934901199 6.45437110773107e-07 -0.000368999880916848 60 0
5.35732570852641e-07 -0.000306281183703091 6.49372700900001e-07 -0.000371249879460187 60 0
5.42245975803565e-07 -0.000310004932490373 6.53308291003246e-07 -0.000373499877994671 60 0
5.48798736654597e-07 -0.000313751181262955 6.57243881082853e-07 -0.0003757498765203 60 0
5.55390853405519e-07 -0.000317519930020749 6.61179471138838e-07 -0.000377999875037074 60 0
5.62022326056114e-07 -0.000321311178763667 6.65115061171212e-07 -0.000380249873544993 60 0
5.68693154606164e-07 -0.000325124927491619 6.69050651179989e-07 -0.000382499872044057 60 0
5.7540333905545e-07 -0.000328961176204518 6.72986241165183e-07 -0.000384749870534266 60 0
5.82152879403757e-07 -0.000332819924902274 6.76921831126807e-07 -0.00038699986901562 60 0
5.88941775650864e-07 -0.0003367011735848 6.80857421064875e-07 -0.000389249867488118 60 0
5.95770027796556e-07 -0.000340604922252007 6.84793010979398e-07 -0.000391499865951762 60 0
6.02637635840614e-07 -0.000344531170903806 6.88728600870392e-07 -0.000393749864406551 60 0
6.09544599782821e-07 -0.000348479919540108 6.92664190737869e-07 -0.000395999862852484 60 0
6.16490919622959e-07 -0.000352451168160825 6.96599780581842e-07 -0.000398249861289562 60 0
6.23476595360809e-07 -0.000356444916765869 7.00535370402325e-07 -0.000400499859717786 60 0
6.30501626996155e-07 -0.000360461165355151 7.04470960199332e-07 -0.000402749858137154 60 0
6.37566014528779e-07 -0.000364499913928582 7.08406549972875e-07 -0.000404999856547667 60 0
6.44669757958463e-07 -0.000368561162486075 7.12342139722968e-07 -0.000407249854949325 60 0
6.51812857284989e-07 -0.000372644911027539 7.16277729449624e-07 -0.000409499853342128 60 0
